Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121229050.27933,1195530726.25698,1264245810.05587,1326256983.24022,1377094972.06704,1393854748.60335,1353631284.9162,1260335195.53073,1275418994.41341,1450279329.60894,1597765363.12849,1596648044.69274,1730167597.76536,1858659217.8771,1593854748.60335,1459217877.09497,1729050279.32961,1653631284.9162,1770391061.45251,1850837988.82682,1873743016.75978,1848603351.95531,1912290502.7933,,,
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,22222233.3333333,24444455.5555556,26666680,68888922.2222222,71111144.4444444,113333340,120000000,113333340,122222228.888889,142222222.222222,171111104.444444,199999988.888889,235555544.444444,224444437.777778,302222222.222222,300000006.666667,337777777.777778,344444451.111111,357777771.111111,,,,,,,,,,,,,,,,,,,,,,,,1329280562.08171,2003507988.88237,1616201849.03075,1766397751.7371,1764977019.43645,1863571513.22321,2724291877.8378,2823712992.37417,2945227257.64192,3900019116.08459,3793614716.3624,4028235712.84642,3233000000.58228,2326740000.09768,1148855434.20128,1192286469.02372,,,
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8187952996.90344,6736804052.06298,8725781181.80022,9676099739.56623,13749769575.3243,24225663183.7639,33245105956.2189,44319695565.281,64168383679.8013,41310593206.4512,51572818660.8665,67822745138.1171,71632934595.8855,69376269461.8533,65126113465.185,34572954933.6294,28440561886.9778,35420915616.9387,,,
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,335069933.049631,319090900.273501,327312512.5,333550012.5,348287487.5,418924987.5,312500000,82300000,81519209.6758072,189399541.45744,225407481.032684,302465325.386337,371808985.54913,230303544.648943,291949986.768987,540977914.554671,700083398.144547,836717875.539468,910729684.956035,1169850310.53175,1596261928.9261,1853022970.79312,2242665086.02148,3016116154.41694,3259293923.566,3040048284.81513,3337095377.55781,3769487586.10437,3565036151.17124,3694429570.91362,3732085757.19194,3104919070.05989,3437170827.66437,4110273661.47858,4785177777.03696,,
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163496365083.929,186191033527.805,213692234723.301,220169097439.511,171934231461.682,206823027679.293,288854998181.828,266440707141.845,277188493543.454,347204390477.049,462061804535.7,624669134892.658,762767122404.332,889355765660.437,1187837342487.77,832884795379.324,1042377819626.52,1365986227231.21,1546809894804.19,1531176502033.9,1454046032246.07,1072549878355.26,988706312683.558,1133384807039.24,1316857706303.4,,
United Arab Emirates,ARE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50787202178.3526,54362695711.3683,69538461538.4615,93968596324.0299,122070878148.4,152433690946.222,186690265486.726,248808168822.328,201958883594.282,238328114363.513,315867937372.362,375513955071.477,392244520081.688,401366643975.494,361252552756.978,360626276378.489,384043567052.417,388754254594.963,,
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,1147183934.48134,1441753549.59206,1424603255.4971,1764705803.20912,1904761830.17968,1818181857.73576,1714285705.23432,2000000041.3448,1769210602.71535,2000000003.29714,2500000047.48951,4000000136.32269,4999999839.57003,3054054017.48759,4695000304.43367,5459999880.60299,4999999950.3057,4508960596.86682,3895791554.56352,5445263189.7662,7663966255.62989,9515669466.75192,6003000151.64854,10376666928.8033,9054444307.18032,8747619117.06127,12029545360.5898,10007559520.4417,14643450361.4013,14561091033.0362,15095901877.6499,16357317317.3173,19385100000,24978532000,28381400000,30928400000,31137200000,27862300000,31223690400,31112418400,27736610298.2555,33084505277.8061,39266996605.7973,46198180131.0044,53550250227.3909,65162321195.025,79762958392.3012,65133480388.4946,80208867995.7171,97810932629.3764,88655850853.7721,80690471898.442,75818867911.0825,63671789068.8987,69842486095.8653,72256505014.2791,74240343947.3216,,
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789960888.429774,842829165.092108,506749951.25833,567247790.509983,517226119.394369,351337813.033468,371135631.409224,332378715.799676,359865213.08226,383089748.692254,446832959.975311,539539869.563651,697610534.577483,902545052.438793,1063499859.40575,1411788277.09511,1491343148.40578,1766287387.91701,1754799662.97283,1338222813.98567,1928927462.22841,2409446527.51175,2927398422.95477,3153950545.58344,3316273473.87645,3137295851.61313,3495833404.44157,4303143004.87823,4700517402.0166,,
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518000000,513000000,460000000,498000000,495000000,505000000,641000000,530000000,364000000,335000000,482000000,457000000,426000000,427000000,427000000,362000000,438000000,,
